Time	V	A	mAh	SOC	SOD
0	4.14	1.03	1.00	99.98	0.02
10	4.13	1.03	4.00	99.92	0.08
20	4.12	1.03	10.00	99.80	0.20
50	4.11	1.02	18.00	99.63	0.37
80	4.11	1.02	27.00	99.45	0.55
110	4.10	1.02	35.00	99.29	0.71
140	4.10	1.02	44.00	99.10	0.90
170	4.10	1.02	52.00	98.94	1.06
200	4.09	1.02	61.00	98.76	1.24
230	4.09	1.02	69.00	98.59	1.41
260	4.08	1.02	78.00	98.41	1.59
290	4.08	1.01	86.00	98.24	1.76
320	4.07	1.01	95.00	98.06	1.94
350	4.07	1.01	103.00	97.90	2.10
380	4.07	1.01	112.00	97.71	2.29
410	4.07	1.01	120.00	97.55	2.45
440	4.06	1.01	129.00	97.37	2.63
470	4.06	1.01	136.00	97.22	2.78
500	4.06	1.01	136.00	97.22	2.78
530	4.06	1.01	153.00	96.88	3.12
560	4.06	1.01	161.00	96.71	3.29
590	4.06	1.01	170.00	96.53	3.47
620	4.06	1.01	178.00	96.37	3.63
650	4.05	1.01	176.00	96.41	3.59
740	4.04	1.00	211.00	95.69	4.31
860	4.04	1.00	246.00	94.98	5.02
980	4.03	1.00	279.00	94.31	5.69
1220	4.03	1.00	346.00	92.94	7.06
1400	4.02	1.00	396.00	91.92	8.08
1640	4.02	1.00	463.00	90.55	9.45
1850	4.02	1.00	521.00	89.37	10.63
1940	4.01	1.00	546.00	88.86	11.14
2180	4.01	1.00	612.00	87.51	12.49
2360	4.01	1.00	662.00	86.49	13.51
2480	4.00	1.00	696.00	85.80	14.20
2660	4.00	0.99	746.00	84.78	15.22
2780	3.99	0.99	779.00	84.10	15.90
2990	3.98	0.99	837.00	82.92	17.08
3200	3.97	0.99	895.00	81.73	18.27
3350	3.96	0.99	936.00	80.90	19.10
3470	3.96	0.98	969.00	80.22	19.78
3500	3.95	0.98	977.00	80.06	19.94
3650	3.94	0.98	1018.00	79.22	20.78
3770	3.93	0.98	1058.00	78.41	21.59
3920	3.92	0.98	1092.00	77.71	22.29
3950	3.92	0.97	1100.00	77.55	22.45
4040	3.91	0.97	1124.00	77.06	22.94
4190	3.90	0.97	1165.00	76.22	23.78
4310	3.89	0.97	1197.00	75.57	24.43
