seconds	V	A	mAh	SOC	SOD
0	4.19	0.00	0.00	100.00	0.00
10	4.12	1.03	2.86	99.94	0.06
40	4.11	1.02	11.36	99.77	0.23
70	4.10	1.02	19.86	99.60	0.40
100	4.09	1.02	28.36	99.43	0.57
130	4.09	1.02	36.86	99.26	0.74
160	4.08	1.02	45.36	99.09	0.91
190	4.08	1.01	53.78	98.92	1.08
220	4.08	1.01	62.19	98.76	1.24
250	4.07	1.01	70.61	98.59	1.41
280	4.07	1.01	79.03	98.42	1.58
310	4.07	1.01	87.44	98.25	1.75
340	4.06	1.01	95.86	98.08	1.92
370	4.06	1.01	104.28	97.91	2.09
400	4.06	1.01	112.69	97.75	2.25
430	4.06	1.01	121.11	97.58	2.42
460	4.06	1.01	129.53	97.41	2.59
490	4.05	1.01	137.94	97.24	2.76
520	4.05	1.01	146.36	97.07	2.93
550	4.05	1.01	154.78	96.90	3.10
580	4.05	1.01	163.19	96.74	3.26
610	4.04	1.01	171.61	96.57	3.43
640	4.04	1.01	180.03	96.40	3.60
670	4.04	1.01	188.44	96.23	3.77
700	4.04	1.01	196.86	96.06	3.94
730	4.04	1.00	205.19	95.90	4.10
760	4.04	1.00	213.53	95.73	4.27
790	4.04	1.00	221.86	95.56	4.44
820	4.03	1.00	230.19	95.40	4.60
850	4.03	1.00	238.53	95.23	4.77
880	4.03	1.00	246.86	95.06	4.94
910	4.03	1.00	255.19	94.90	5.10
940	4.03	1.00	263.53	94.73	5.27
970	4.03	1.00	271.86	94.56	5.44
1000	4.03	1.00	280.19	94.40	5.60
1030	4.03	1.00	288.53	94.23	5.77
1060	4.03	1.00	296.86	94.06	5.94
1090	4.03	1.00	305.19	93.90	6.10
1120	4.03	1.00	313.53	93.73	6.27
1150	4.02	1.00	321.86	93.56	6.44
1180	4.02	1.00	330.19	93.40	6.60
1210	4.02	1.00	338.53	93.23	6.77
1240	4.02	1.00	346.86	93.06	6.94
1270	4.02	1.00	355.19	92.90	7.10
1300	4.02	1.00	363.53	92.73	7.27
1330	4.02	1.00	371.86	92.56	7.44
1360	4.02	1.00	380.19	92.40	7.60
1390	4.02	1.00	388.53	92.23	7.77
1420	4.02	1.00	396.86	92.06	7.94
1450	4.02	1.00	405.19	91.90	8.10
1480	4.02	1.00	413.53	91.73	8.27
1510	4.02	1.00	421.86	91.56	8.44
1540	4.02	1.00	430.19	91.40	8.60
1570	4.01	1.00	438.53	91.23	8.77
1600	4.01	1.00	446.86	91.06	8.94
1630	4.01	1.00	455.19	90.90	9.10
1660	4.01	1.00	463.53	90.73	9.27
1690	4.01	1.00	471.86	90.56	9.44
1720	4.01	1.00	480.19	90.40	9.60
1750	4.01	1.00	488.53	90.23	9.77
1780	4.01	1.00	496.86	90.06	9.94
1810	4.01	1.00	505.19	89.90	10.10
1840	4.01	1.00	513.53	89.73	10.27
1870	4.01	1.00	521.86	89.56	10.44
1900	4.01	1.00	530.19	89.40	10.60
1930	4.01	1.00	538.53	89.23	10.77
1960	4.01	1.00	546.86	89.06	10.94
1990	4.01	1.00	555.19	88.90	11.10
2020	4.01	1.00	563.53	88.73	11.27
2050	4.00	1.00	571.86	88.56	11.44
2080	4.00	1.00	580.19	88.40	11.60
2110	4.00	1.00	588.53	88.23	11.77
2140	4.00	1.00	596.86	88.06	11.94
