Time	Cell	Background	różnica
0	27.71	26.73	0.98
30	27.62	26.64	0.98
60	27.62	26.64	0.98
90	27.71	26.64	1.07
120	27.62	26.73	0.89
150	27.71	26.64	1.07
180	27.71	26.64	1.07
210	27.71	26.64	1.07
240	27.71	26.64	1.07
270	27.71	26.64	1.07
301	27.71	26.64	1.07
331	27.71	26.64	1.07
361	27.71	26.91	0.80
391	27.80	26.82	0.98
421	27.71	26.73	0.98
451	27.80	26.73	1.07
481	27.80	26.73	1.07
511	27.89	26.64	1.25
541	28.07	26.91	1.16
571	27.98	26.82	1.16
601	27.89	26.91	0.98
631	27.98	26.82	1.16
661	27.89	26.73	1.16
691	27.89	26.91	0.98
721	27.89	26.82	1.07
751	27.98	26.82	1.16
781	28.07	27.08	0.99
811	28.07	26.99	1.08
842	28.07	26.99	1.08
872	28.07	26.99	1.08
902	28.07	26.91	1.16
932	28.07	26.99	1.08
962	28.07	26.91	1.16
992	28.07	26.91	1.16
1022	28.16	26.91	1.25
1052	28.16	26.82	1.34
1082	28.07	26.82	1.25
1112	28.25	26.82	1.43
1142	28.07	26.82	1.25
1172	28.07	26.91	1.16
1202	28.16	26.82	1.34
1232	28.16	26.82	1.34
1262	28.07	26.82	1.25
1292	28.16	26.82	1.34
1322	28.25	26.91	1.34
1352	28.16	26.82	1.34
1383	28.16	26.91	1.25
1413	28.07	26.91	1.16
1443	28.25	26.91	1.34
1473	28.16	26.91	1.25
1503	28.25	26.82	1.43
1533	28.25	26.82	1.43
1563	28.52	26.91	1.61
1593	28.52	26.91	1.61
1623	28.71	26.73	1.98
1653	28.80	26.82	1.98
1683	28.98	26.82	2.16
1713	29.16	26.82	2.34
1743	29.34	26.82	2.52
1773	29.71	26.73	2.98
1803	29.71	26.82	2.89
1833	29.89	26.82	3.07
1863	30.17	26.91	3.26
1893	30.26	26.82	3.44
1923	30.26	26.82	3.44
1954	30.45	26.82	3.63
1984	30.63	26.82	3.81
2014	30.82	26.82	4.00
2044	31.00	26.91	4.09
2074	31.19	26.73	4.46
2104	31.19	26.73	4.46
2134	31.38	26.82	4.56
2164	31.38	26.82	4.56
2194	31.56	26.82	4.74
2224	31.56	26.91	4.65
2254	31.75	27.17	4.58
2284	31.75	27.26	4.49
2314	31.94	27.26	4.68
2344	31.85	27.17	4.68
2374	32.22	27.08	5.14
2404	32.13	27.08	5.05
2434	32.22	27.08	5.14
2464	32.22	27.08	5.14
2494	32.22	26.99	5.23
2525	32.41	27.08	5.33
2555	32.60	27.08	5.52
2585	32.70	27.17	5.53
2615	32.89	27.08	5.81
2645	32.70	27.08	5.62
2675	32.89	26.91	5.98
2705	32.98	27.17	5.81
2735	32.98	27.17	5.81
2825	33.18	27.08	6.10
2855	32.98	27.08	5.90
2885	33.18	27.08	6.10
2915	33.18	27.08	6.10
2945	33.18	27.08	6.10
2975	33.27	27.08	6.19
3005	33.27	27.17	6.10
3036	33.46	27.17	6.29
3066	33.46	27.17	6.29
3096	33.46	27.17	6.29
3126	33.46	26.99	6.47
3156	33.56	27.08	6.48
3186	33.46	27.08	6.38
3216	33.66	26.99	6.67
3246	33.46	27.26	6.20
3276	33.85	27.08	6.77
3306	33.66	26.91	6.75
3336	33.75	27.08	6.67
3366	33.75	26.99	6.76
3396	33.95	26.99	6.96
3426	34.04	27.08	6.96
3456	34.24	26.91	7.33
3486	34.14	27.08	7.06
3516	34.24	26.91	7.33
3546	34.14	26.82	7.32
3576	34.14	26.91	7.23
3607	34.14	26.99	7.15
3637	34.33	26.99	7.34
3667	34.14	26.99	7.15
3697	34.33	26.99	7.34
3727	34.14	26.91	7.23
3757	34.33	26.99	7.34
3787	34.53	26.91	7.62
3817	34.43	26.91	7.52
3847	34.43	26.99	7.44
3877	34.43	26.82	7.61
