seconds	V	A	mAh
0	2.69	0.09	0.00
30	2.70	0.09	0.75
60	2.72	0.09	1.50
90	2.73	0.09	2.25
120	2.74	0.09	3.00
150	2.75	0.09	3.75
180	2.76	0.09	4.50
210	2.77	0.09	5.25
240	2.77	0.09	6.00
270	2.78	0.09	6.75
300	2.79	0.09	7.50
330	2.80	0.09	8.25
360	2.80	0.09	9.00
390	2.81	0.09	9.75
420	2.81	0.09	10.50
450	2.82	0.09	11.25
480	2.83	0.09	12.00
510	2.83	0.09	12.75
540	2.83	0.09	13.50
570	2.83	0.09	14.25
600	2.84	0.09	15.00
630	2.84	0.09	15.75
660	2.84	0.09	16.50
690	2.85	0.09	17.25
720	2.85	0.09	18.00
750	2.85	0.09	18.75
780	2.86	0.09	19.50
810	2.86	0.09	20.25
840	2.86	0.09	21.00
870	2.86	0.09	21.75
900	2.87	0.09	22.50
930	2.87	0.09	23.25
960	2.87	0.09	24.00
990	2.87	0.09	24.75
1020	2.88	0.09	25.50
1050	2.88	0.09	26.25
1080	2.88	0.09	27.00
1110	2.88	0.09	27.75
1140	2.88	0.09	28.50
1170	2.89	0.09	29.25
1200	2.89	0.09	30.00
1230	2.89	0.09	30.75
1260	2.89	0.09	31.50
1290	2.89	0.09	32.25
1320	2.90	0.09	33.00
1350	2.90	0.09	33.75
1380	2.90	0.09	34.50
1410	2.90	0.09	35.25
1420	2.98	0.98	37.97
1430	3.00	0.98	40.69
1440	3.02	0.98	48.86
1470	3.05	0.98	57.03
1500	3.08	0.98	65.19
1530	3.09	0.98	73.36
1560	3.10	0.98	81.53
1590	3.11	0.98	89.69
1620	3.12	0.98	97.86
1650	3.13	0.98	106.03
1680	3.14	0.98	114.19
1710	3.15	0.98	122.36
1740	3.16	0.98	130.53
1770	3.17	0.98	138.69
1800	3.17	0.98	146.86
1830	3.18	0.98	155.03
1860	3.19	0.98	163.19
1890	3.19	0.98	171.36
1920	3.20	0.98	179.53
1950	3.21	0.98	187.69
1980	3.21	0.98	195.86
2010	3.22	0.98	204.03
2040	3.23	0.98	212.19
2070	3.23	0.98	220.36
2100	3.24	0.98	228.53
2130	3.24	0.98	236.69
2160	3.25	0.98	244.86
2190	3.25	0.98	253.03
2220	3.26	0.98	261.19
2250	3.26	0.98	269.36
2280	3.27	0.98	277.53
2310	3.28	0.98	285.69
2340	3.28	0.98	293.86
2370	3.29	0.98	302.03
2400	3.29	0.98	310.19
2430	3.30	0.98	318.36
2460	3.31	0.98	326.53
2490	3.31	0.98	334.69
2520	3.31	0.98	342.86
2550	3.32	0.98	351.03
2580	3.33	0.98	359.19
2610	3.34	0.98	367.36
2640	3.34	0.98	375.53
2670	3.34	0.98	383.69
2700	3.35	0.98	391.86
2730	3.35	0.98	400.03
2760	3.36	0.98	408.19
2790	3.36	0.98	416.36
2820	3.36	0.98	424.53
2850	3.37	0.98	432.69
2880	3.37	0.98	440.86
2910	3.38	0.98	449.03
2940	3.38	0.98	457.19
2970	3.38	0.98	465.36
3000	3.39	0.98	473.53
3030	3.39	0.98	481.69
3060	3.39	0.98	489.86
3090	3.40	0.98	498.03
3120	3.40	0.98	506.19
3150	3.41	0.98	514.36
3180	3.41	0.98	522.53
3210	3.41	0.98	530.69
3240	3.41	0.98	538.86
3270	3.41	0.98	547.03
3300	3.42	0.98	555.19
3330	3.42	0.98	563.36
3360	3.42	0.98	571.53
3390	3.43	0.98	579.69
3420	3.43	0.98	587.86
3450	3.43	0.98	596.03
3480	3.43	0.98	604.19
3510	3.44	0.98	612.36
3540	3.44	0.98	620.53
3570	3.44	0.98	628.69
3600	3.44	0.98	636.86
3630	3.45	0.98	645.03
3660	3.45	0.98	653.19
3690	3.45	0.98	661.36
3720	3.45	0.98	669.53
3750	3.45	0.98	677.69
3780	3.46	0.98	685.86
3810	3.46	0.98	694.03
3840	3.46	0.98	702.19
3870	3.46	0.98	710.36
3900	3.46	0.98	718.53
3930	3.46	0.98	726.69
3960	3.47	0.98	734.86
3990	3.47	0.98	743.03
4020	3.47	0.98	751.19
4050	3.47	0.98	759.36
4080	3.47	0.98	767.53
4110	3.48	0.98	775.69
4140	3.48	0.98	783.86
4170	3.48	0.98	792.03
4200	3.48	0.98	800.19
4230	3.48	0.98	808.36
4260	3.49	0.98	816.53
4290	3.49	0.98	824.69
4320	3.49	0.98	832.86
4350	3.49	0.98	841.03
4380	3.49	0.98	849.19
4410	3.49	0.98	857.36
4440	3.49	0.98	865.53
4470	3.50	0.98	873.69
4500	3.50	0.98	881.86
4530	3.50	0.98	890.03
4560	3.50	0.98	898.19
4590	3.50	0.98	906.36
4620	3.50	0.98	914.53
4650	3.51	0.98	922.69
4680	3.51	0.98	930.86
4710	3.51	0.98	939.03
4740	3.51	0.98	947.19
4770	3.51	0.98	955.36
4800	3.51	0.98	963.53
4830	3.51	0.98	971.69
4860	3.52	0.98	979.86
4890	3.52	0.98	988.03
4920	3.52	0.98	996.19
4950	3.52	0.98	1004.36
4980	3.52	0.98	1012.53
5010	3.52	0.98	1020.69
5040	3.52	0.98	1028.86
5070	3.53	0.98	1037.03
5100	3.53	0.98	1045.19
5130	3.53	0.98	1053.36
5160	3.53	0.98	1061.53
5190	3.53	0.98	1069.69
5220	3.53	0.98	1077.86
5250	3.53	0.98	1086.03
5280	3.54	0.98	1094.19
5310	3.54	0.98	1102.36
5340	3.54	0.98	1110.53
5370	3.54	0.98	1118.69
5400	3.54	0.98	1126.86
5430	3.54	0.98	1135.03
5460	3.54	0.98	1143.19
5490	3.55	0.98	1151.36
5520	3.55	0.98	1159.53
5550	3.55	0.98	1167.69
5580	3.55	0.98	1175.86
5610	3.55	0.98	1184.03
5640	3.55	0.98	1192.19
5670	3.55	0.98	1200.36
5700	3.55	0.98	1208.53
5730	3.55	0.98	1216.69
5760	3.56	0.98	1224.86
5790	3.56	0.98	1233.03
5820	3.56	0.98	1241.19
5850	3.56	0.98	1249.36
5880	3.56	0.98	1257.53
5910	3.56	0.98	1265.69
5940	3.56	0.98	1273.86
5970	3.56	0.98	1282.03
6000	3.56	0.98	1290.19
6030	3.56	0.98	1298.36
6060	3.57	0.98	1306.53
6090	3.57	0.98	1314.69
6120	3.57	0.98	1322.86
6150	3.57	0.98	1331.03
6180	3.57	0.98	1339.19
6210	3.57	0.98	1347.36
6240	3.57	0.98	1355.53
6270	3.57	0.98	1363.69
6300	3.58	0.98	1371.86
6330	3.58	0.98	1380.03
6360	3.58	0.98	1388.19
6390	3.58	0.98	1396.36
6420	3.58	0.98	1404.53
6450	3.58	0.98	1412.69
6480	3.58	0.98	1420.86
6510	3.59	0.98	1429.03
6540	3.59	0.98	1437.19
6570	3.59	0.98	1445.36
6600	3.59	0.98	1453.53
6630	3.59	0.98	1461.69
6660	3.59	0.98	1469.86
6690	3.59	0.98	1478.03
6720	3.60	0.98	1486.19
6750	3.60	0.98	1494.36
6780	3.60	0.98	1502.53
6810	3.60	0.98	1510.69
6840	3.60	0.98	1518.86
6870	3.61	0.98	1527.03
6900	3.61	0.98	1535.19
6930	3.61	0.98	1543.36
6960	3.61	0.98	1551.53
6990	3.61	0.98	1559.69
7020	3.61	0.98	1567.86
7050	3.61	0.98	1576.03
7080	3.62	0.98	1584.19
7110	3.62	0.98	1592.36
7140	3.62	0.98	1600.53
7170	3.62	0.98	1608.69
7200	3.62	0.98	1616.86
7230	3.62	0.98	1625.03
7260	3.63	0.98	1633.19
7290	3.63	0.98	1641.36
7320	3.63	0.98	1649.53
7350	3.63	0.98	1657.69
7380	3.63	0.98	1665.86
7410	3.63	0.98	1674.03
7440	3.63	0.98	1682.19
7470	3.64	0.98	1690.36
7500	3.64	0.98	1698.53
7530	3.64	0.98	1706.69
7560	3.64	0.98	1714.86
7590	3.64	0.98	1723.03
7620	3.64	0.98	1731.19
7650	3.65	0.98	1739.36
7680	3.65	0.98	1747.53
7710	3.65	0.98	1755.69
7740	3.65	0.98	1763.86
7770	3.65	0.98	1772.03
7800	3.65	0.98	1780.19
7830	3.66	0.98	1788.36
7860	3.66	0.98	1796.53
7890	3.66	0.98	1804.69
7920	3.66	0.98	1812.86
7950	3.66	0.98	1821.03
7980	3.66	0.98	1829.19
8010	3.67	0.98	1837.36
8040	3.67	0.98	1845.53
8070	3.67	0.98	1853.69
8100	3.67	0.98	1861.86
8130	3.67	0.98	1870.03
8160	3.67	0.98	1878.19
8190	3.68	0.98	1886.36
8220	3.68	0.98	1894.53
8250	3.68	0.98	1902.69
8280	3.68	0.98	1910.86
8310	3.68	0.98	1919.03
8340	3.68	0.98	1927.19
8370	3.69	0.98	1935.36
8400	3.69	0.98	1943.53
8430	3.69	0.98	1951.69
8460	3.69	0.98	1959.86
8490	3.69	0.98	1968.03
8520	3.69	0.98	1976.19
8550	3.70	0.98	1984.36
8580	3.70	0.98	1992.53
8610	3.70	0.98	2000.69
8640	3.70	0.98	2008.86
8670	3.70	0.98	2017.03
8700	3.70	0.98	2025.19
8730	3.71	0.98	2033.36
8760	3.71	0.98	2041.53
8790	3.71	0.98	2049.69
8820	3.71	0.98	2057.86
8850	3.71	0.98	2066.03
8880	3.71	0.98	2074.19
8910	3.71	0.98	2082.36
8940	3.71	0.98	2090.53
8970	3.72	0.98	2098.69
9000	3.72	0.98	2106.86
9030	3.72	0.98	2115.03
9060	3.72	0.98	2123.19
9090	3.72	0.98	2131.36
9120	3.73	0.98	2139.53
9150	3.73	0.98	2147.69
9180	3.73	0.98	2155.86
9210	3.73	0.98	2164.03
9240	3.73	0.98	2172.19
9270	3.73	0.98	2180.36
9300	3.74	0.98	2188.53
9330	3.74	0.98	2196.69
9360	3.74	0.98	2204.86
9390	3.74	0.98	2213.03
9420	3.74	0.98	2221.19
9450	3.74	0.98	2229.36
9480	3.75	0.98	2237.53
9510	3.75	0.98	2245.69
9540	3.75	0.98	2253.86
9570	3.75	0.98	2262.03
9600	3.75	0.98	2270.19
9630	3.76	0.98	2278.36
9660	3.76	0.98	2286.53
9690	3.76	0.99	2294.78
9720	3.76	0.98	2302.94
9750	3.76	0.99	2311.19
9780	3.76	0.98	2319.36
9810	3.77	0.98	2327.53
9840	3.77	0.98	2335.69
9870	3.77	0.98	2343.86
9900	3.77	0.98	2352.03
9930	3.77	0.98	2360.19
9960	3.77	0.98	2368.36
9990	3.78	0.98	2376.53
10020	3.78	0.98	2384.69
10050	3.78	0.99	2392.94
10080	3.78	0.99	2401.19
10110	3.78	0.99	2409.44
10140	3.78	0.99	2417.69
10170	3.79	0.98	2425.86
10200	3.79	0.98	2434.03
10230	3.79	0.98	2442.19
10260	3.79	0.98	2450.36
10290	3.79	0.98	2458.53
10320	3.79	0.98	2466.69
10350	3.80	0.98	2474.86
10380	3.80	0.98	2483.03
10410	3.80	0.98	2491.19
10440	3.80	0.98	2499.36
10470	3.80	0.98	2507.53
10500	3.80	0.98	2515.69
10530	3.81	0.98	2523.86
10560	3.81	0.99	2532.11
10590	3.81	0.99	2540.36
10620	3.81	0.99	2548.61
10650	3.81	0.98	2556.78
10680	3.81	0.98	2564.94
10710	3.81	0.98	2573.11
10740	3.81	0.99	2581.36
10770	3.82	0.98	2589.53
10800	3.82	0.98	2597.69
10830	3.82	0.98	2605.86
10860	3.82	0.98	2614.03
10890	3.82	0.98	2622.19
10920	3.82	0.98	2630.36
10950	3.83	0.98	2638.53
10980	3.83	0.98	2646.69
11010	3.83	0.98	2654.86
11040	3.83	0.98	2663.03
11070	3.83	0.98	2671.19
11100	3.83	0.98	2679.36
11130	3.83	0.98	2687.53
11160	3.84	0.99	2695.78
11190	3.84	0.99	2704.03
11220	3.84	0.99	2712.28
11250	3.84	0.99	2720.53
11280	3.84	0.99	2728.78
11310	3.84	0.99	2737.03
11340	3.85	0.98	2745.19
11370	3.85	0.98	2753.36
11400	3.85	0.98	2761.53
11430	3.85	0.98	2769.69
11460	3.85	0.98	2777.86
11490	3.85	0.98	2786.03
11520	3.86	0.98	2794.19
11550	3.86	0.98	2802.36
11580	3.86	0.98	2810.53
11610	3.86	0.98	2818.69
11640	3.86	0.98	2826.86
11670	3.86	0.98	2835.03
11700	3.86	0.98	2843.19
11730	3.87	0.98	2851.36
11760	3.87	0.98	2859.53
11790	3.87	0.98	2867.69
11820	3.87	0.99	2875.94
11850	3.87	0.98	2884.11
11880	3.87	0.99	2892.36
11910	3.87	0.98	2900.53
11940	3.88	0.98	2908.69
11970	3.88	0.98	2916.86
12000	3.88	0.98	2925.03
12030	3.88	0.99	2933.28
12060	3.88	0.98	2941.44
12090	3.88	0.98	2949.61
12120	3.88	0.98	2957.78
12150	3.88	0.98	2965.94
12180	3.89	0.98	2974.11
12210	3.89	0.98	2982.28
12240	3.89	0.98	2990.44
12270	3.89	0.98	2998.61
12300	3.89	0.98	3006.78
12330	3.89	0.98	3014.94
12360	3.90	0.98	3023.11
12390	3.90	0.98	3031.28
12420	3.90	0.98	3039.44
12450	3.90	0.98	3047.61
12480	3.90	0.98	3055.78
12510	3.90	0.98	3063.94
12540	3.90	0.98	3072.11
12570	3.91	0.98	3080.28
12600	3.91	0.98	3088.44
12630	3.91	0.98	3096.61
12660	3.91	0.98	3104.78
12690	3.91	0.99	3113.03
12720	3.91	0.99	3121.28
12750	3.91	0.98	3129.44
12780	3.92	0.99	3137.69
12810	3.92	0.99	3145.94
12840	3.92	0.99	3154.19
12870	3.92	0.99	3162.44
12900	3.92	0.98	3170.61
12930	3.92	0.98	3178.78
12960	3.92	0.98	3186.94
12990	3.92	0.98	3195.11
13020	3.93	0.98	3203.28
13050	3.93	0.98	3211.44
13080	3.93	0.98	3219.61
13110	3.93	0.98	3227.78
