Time	V	A	mAh
0	2.50	0.09	0.00
30	2.60	0.09	0.75
60	2.65	0.09	1.50
90	2.69	0.09	2.25
120	2.71	0.09	3.00
150	2.73	0.09	3.75
180	2.75	0.09	4.50
210	2.76	0.09	5.25
240	2.77	0.09	6.00
270	2.78	0.09	6.75
300	2.79	0.09	7.50
330	2.80	0.09	8.25
360	2.81	0.09	9.00
390	2.82	0.09	9.75
420	2.83	0.09	10.50
450	2.84	0.09	11.25
480	2.84	0.09	12.00
510	2.85	0.09	12.75
540	2.93	0.98	20.92
570	2.93	0.98	29.08
600	3.02	0.98	37.25
630	3.05	0.98	45.42
660	3.08	0.98	53.58
690	3.10	0.98	61.75
720	3.12	0.98	69.92
750	3.14	0.98	78.08
780	3.16	0.98	86.25
810	3.17	0.98	94.42
840	3.19	0.98	102.58
870	3.20	0.98	110.75
900	3.21	0.98	118.92
930	3.23	0.98	127.08
960	3.24	0.98	135.25
990	3.25	0.98	143.42
1020	3.26	0.98	151.58
1050	3.26	0.98	159.75
1080	3.29	0.98	167.92
1110	3.29	0.98	176.08
1140	3.30	0.98	184.25
1170	3.31	0.98	192.42
1200	3.32	0.98	200.58
1230	3.33	0.98	208.75
1260	3.33	0.98	216.92
1290	3.34	0.98	225.08
1320	3.35	0.98	233.25
1350	3.35	0.98	241.42
1380	3.36	0.98	249.58
1410	3.37	0.98	257.75
1440	3.37	0.98	265.92
1470	3.37	0.98	274.08
1500	3.38	0.98	282.25
1530	3.38	0.98	290.42
1560	3.39	0.98	298.58
1590	3.39	0.98	306.75
1620	3.39	0.98	314.92
1650	3.40	0.98	323.08
1680	3.40	0.98	331.25
1710	3.41	0.98	339.42
1740	3.41	0.98	347.58
1770	3.41	0.98	355.75
1800	3.42	0.98	363.92
1830	3.42	0.98	372.08
1860	3.42	0.98	380.25
1890	3.43	0.98	388.42
1920	3.43	0.98	396.58
1950	3.43	0.98	404.75
1980	3.44	0.98	412.92
2010	3.44	0.98	421.08
2040	3.44	0.98	429.25
2070	3.45	0.98	437.42
2100	3.45	0.98	445.58
2130	3.45	0.98	453.75
2160	3.46	0.98	461.92
2190	3.46	0.98	470.08
2220	3.46	0.98	478.25
2250	3.46	0.98	486.42
2280	3.46	0.98	494.58
2310	3.46	0.98	502.75
2340	3.47	0.98	510.92
2370	3.47	0.98	519.08
2400	3.47	0.98	527.25
2430	3.47	0.98	535.42
2460	3.47	0.98	543.58
2490	3.48	0.98	551.75
2520	3.48	0.98	559.92
2550	3.48	0.98	568.08
2580	3.48	0.98	576.25
2610	3.48	0.98	584.42
2640	3.48	0.98	592.58
2670	3.48	0.98	600.75
2700	3.49	0.98	608.92
2730	3.49	0.98	617.08
2760	3.49	0.98	625.25
2790	3.49	0.98	633.42
2820	3.49	0.98	641.58
2850	3.49	0.98	649.75
2880	3.49	0.98	657.92
2910	3.50	0.98	666.08
2940	3.50	0.98	674.25
2970	3.50	0.98	682.42
3000	3.50	0.98	690.58
3030	3.50	0.98	698.75
3060	3.51	0.98	706.92
3090	3.51	0.98	715.08
3120	3.51	0.98	723.25
3150	3.51	0.98	731.42
3180	3.51	0.98	739.58
3210	3.51	0.98	747.75
3240	3.51	0.98	755.92
3270	3.51	0.98	764.08
3300	3.52	0.98	772.25
3330	3.52	0.98	780.42
3360	3.52	0.98	788.58
3390	3.52	0.98	796.75
3420	3.52	0.98	804.92
3450	3.52	0.98	813.08
3480	3.52	0.98	821.25
3510	3.52	0.98	829.42
3540	3.52	0.98	837.58
3570	3.52	0.98	845.75
3600	3.52	0.98	853.92
3630	3.52	0.98	862.08
3660	3.52	0.98	870.25
3690	3.54	0.98	878.42
3720	3.54	0.98	886.58
3750	3.54	0.98	894.75
3780	3.54	0.98	902.92
3810	3.54	0.98	911.08
3840	3.55	0.98	919.25
3870	3.55	0.98	927.42
3900	3.55	0.98	935.58
3930	3.55	0.98	943.75
3960	3.55	0.98	951.92
3990	3.55	0.98	960.08
4020	3.56	0.98	968.25
4050	3.56	0.98	976.42
4080	3.56	0.98	984.58
4110	3.56	0.98	992.75
4140	3.56	0.98	1000.92
4170	3.56	0.98	1009.08
4200	3.57	0.98	1017.25
4230	3.57	0.98	1025.42
4260	3.57	0.98	1033.58
4290	3.57	0.98	1041.75
4320	3.57	0.98	1049.92
4350	3.57	0.98	1058.08
4380	3.58	0.98	1066.25
4410	3.58	0.98	1074.42
4440	3.58	0.98	1082.58
4470	3.58	0.98	1090.75
4500	3.58	0.98	1098.92
4530	3.59	0.98	1107.08
4560	3.59	0.98	1115.25
4590	3.59	0.98	1123.42
4620	3.59	0.98	1131.58
4650	3.59	0.98	1139.75
4680	3.59	0.98	1147.92
4710	3.60	0.98	1156.08
4740	3.60	0.98	1164.25
4770	3.60	0.98	1172.42
4800	3.60	0.98	1180.58
4830	3.60	0.98	1188.75
4860	3.60	0.98	1196.92
4890	3.61	0.98	1205.08
4920	3.61	0.98	1213.25
4950	3.61	0.98	1221.42
4980	3.61	0.98	1229.58
5010	3.61	0.98	1237.75
5040	3.61	0.98	1245.92
5070	3.61	0.98	1254.08
5100	3.62	0.98	1262.25
5130	3.62	0.98	1270.42
5160	3.62	0.98	1278.58
5190	3.62	0.98	1286.75
5220	3.62	0.98	1294.92
5250	3.62	0.98	1303.08
5280	3.63	0.98	1311.25
5310	3.63	0.98	1319.42
5340	3.63	0.98	1327.58
5370	3.63	0.98	1335.75
5400	3.63	0.98	1343.92
5430	3.63	0.98	1352.08
5460	3.64	0.98	1360.25
5490	3.64	0.98	1368.42
5520	3.64	0.98	1376.58
5550	3.64	0.98	1384.75
5580	3.64	0.98	1392.92
5610	3.64	0.98	1401.08
5640	3.65	0.98	1409.25
5670	3.65	0.98	1417.42
5700	3.65	0.98	1425.58
5730	3.65	0.98	1433.75
5760	3.65	0.98	1441.92
5790	3.65	0.98	1450.08
5820	3.65	0.98	1458.25
5850	3.65	0.98	1466.42
5880	3.66	0.98	1474.58
5910	3.66	0.98	1482.75
5940	3.66	0.98	1490.92
5970	3.66	0.98	1499.08
6000	3.66	0.98	1507.25
6030	3.66	0.98	1515.42
6060	3.66	0.98	1523.58
6090	3.66	0.98	1531.75
6120	3.67	0.98	1539.92
6150	3.67	0.98	1548.08
6180	3.67	0.98	1556.25
6210	3.67	0.98	1564.42
6240	3.67	0.98	1572.58
6270	3.67	0.98	1580.75
6300	3.67	0.98	1588.92
6330	3.67	0.98	1597.08
6360	3.67	0.98	1605.25
6390	3.68	0.98	1613.42
6420	3.68	0.98	1621.58
6450	3.68	0.98	1629.75
6480	3.68	0.98	1637.92
6510	3.68	0.98	1646.08
6540	3.68	0.98	1654.25
6570	3.68	0.98	1662.42
6600	3.68	0.98	1670.58
6630	3.68	0.98	1678.75
6660	3.69	0.98	1686.92
6690	3.69	0.98	1695.08
6720	3.69	0.98	1703.25
6750	3.69	0.98	1711.42
6780	3.69	0.98	1719.58
6810	3.69	0.98	1727.75
6840	3.69	0.98	1735.92
6870	3.69	0.98	1744.08
6900	3.69	0.98	1752.25
6930	3.70	0.98	1760.42
6960	3.70	0.98	1768.58
6990	3.70	0.98	1776.75
7020	3.70	0.98	1784.92
7050	3.71	0.98	1793.08
7080	3.71	0.98	1801.25
7110	3.71	0.98	1809.42
7140	3.71	0.98	1817.58
7170	3.71	0.98	1825.75
7200	3.71	0.98	1833.92
7230	3.71	0.98	1842.08
7260	3.72	0.98	1850.25
7290	3.72	0.98	1858.42
7320	3.72	0.98	1866.58
7350	3.72	0.98	1874.75
7380	3.72	0.98	1882.92
7410	3.72	0.98	1891.08
7440	3.72	0.98	1899.25
